"person_id","id_in_wave","gender","id_in_gender","condition","wave","n_met_in_wave","meet_station","start_station","date_order","partner_id_in_wave","partner_id","match","int_corr","samerace","partner_age","partner_race","partner_pref_attr","partner_pref_sinc","partner_pref_intel","partner_pref_fun","partner_pref_amb","partner_pref_shar","received_yes","received_attr","received_sinc","received_intel","received_fun","received_amb","received_shar","received_like","received_prob_yes","received_met_before","age","field","field_code","undergrad_school","median_sat","tuition","race","imp_samerace","imp_samerelig","hometown","zipcode","income","event_goal","date_freq","goout_freq","career","career_code","sports","tvsports","exercise","dining","museums","art","hiking","gaming","clubbing","reading","tv","theater","movies","concerts","music","shopping","yoga","you_said_yes","race_label","partner_race_label"
1,1,0,1,1,1,10,7,NA,4,1,11,0,0.14,0,27,2,35,20,20,20,0,5,0,6,8,8,8,8,6,7,4,2,21,"law",1,NA,NA,NA,4,2,4,"chicago","60521",69487,2,7,1,"lawyer",NA,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,1,"Asian/Pacific Islander/Asian-American","European/Caucasian-American"
1,1,0,1,1,1,10,7,NA,3,2,12,0,0.54,0,22,2,60,0,0,40,0,0,0,7,8,10,7,7,5,8,4,2,21,"law",1,NA,NA,NA,4,2,4,"chicago","60521",69487,2,7,1,"lawyer",NA,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,1,"Asian/Pacific Islander/Asian-American","European/Caucasian-American"
1,1,0,1,1,1,10,7,NA,10,3,13,1,0.16,1,22,4,19,18,19,18,14,12,1,10,10,10,10,10,10,10,10,1,21,"law",1,NA,NA,NA,4,2,4,"chicago","60521",69487,2,7,1,"lawyer",NA,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,1,"Asian/Pacific Islander/Asian-American","Asian/Pacific Islander/Asian-American"
1,1,0,1,1,1,10,7,NA,5,4,14,1,0.61,0,23,2,30,5,15,40,5,5,1,7,8,9,8,9,8,7,7,2,21,"law",1,NA,NA,NA,4,2,4,"chicago","60521",69487,2,7,1,"lawyer",NA,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,1,"Asian/Pacific Islander/Asian-American","European/Caucasian-American"
1,1,0,1,1,1,10,7,NA,7,5,15,1,0.21,0,24,3,30,10,20,10,10,20,1,8,7,9,6,9,7,8,6,2,21,"law",1,NA,NA,NA,4,2,4,"chicago","60521",69487,2,7,1,"lawyer",NA,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,1,"Asian/Pacific Islander/Asian-American","Latino/Hispanic American"
1,1,0,1,1,1,10,7,NA,6,6,16,0,0.25,0,25,2,50,0,30,10,0,10,1,7,7,8,8,7,7,7,6,2,21,"law",1,NA,NA,NA,4,2,4,"chicago","60521",69487,2,7,1,"lawyer",NA,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,0,"Asian/Pacific Islander/Asian-American","European/Caucasian-American"
1,1,0,1,1,1,10,7,NA,1,7,17,0,0.34,0,30,2,35,15,25,10,5,10,0,3,6,7,5,8,7,2,1,2,21,"law",1,NA,NA,NA,4,2,4,"chicago","60521",69487,2,7,1,"lawyer",NA,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,1,"Asian/Pacific Islander/Asian-American","European/Caucasian-American"
1,1,0,1,1,1,10,7,NA,2,8,18,0,0.5,0,27,2,33.33,11.11,11.11,11.11,11.11,22.22,0,6,7,5,6,8,6,7,5,2,21,"law",1,NA,NA,NA,4,2,4,"chicago","60521",69487,2,7,1,"lawyer",NA,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,0,"Asian/Pacific Islander/Asian-American","European/Caucasian-American"
1,1,0,1,1,1,10,7,NA,8,9,19,1,0.28,0,28,2,50,0,25,10,0,15,1,7,7,8,8,8,9,6.5,8,2,21,"law",1,NA,NA,NA,4,2,4,"chicago","60521",69487,2,7,1,"lawyer",NA,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,1,"Asian/Pacific Islander/Asian-American","European/Caucasian-American"
1,1,0,1,1,1,10,7,NA,9,10,20,0,-0.36,0,24,2,100,0,0,0,0,0,0,6,6,6,6,6,6,6,6,2,21,"law",1,NA,NA,NA,4,2,4,"chicago","60521",69487,2,7,1,"lawyer",NA,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,1,"Asian/Pacific Islander/Asian-American","European/Caucasian-American"
2,2,0,3,1,1,10,3,NA,10,1,11,0,0.29,1,27,2,35,20,20,20,0,5,0,8,7,6,9,7,4,7,2,2,24,"law",1,NA,NA,NA,2,2,5,"alabama","35223",65929,1,5,1,"law",NA,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,0,"European/Caucasian-American","European/Caucasian-American"
2,2,0,3,1,1,10,3,NA,9,2,12,0,0.18,1,22,2,60,0,0,40,0,0,0,7,6,10,6,6,5,8,4,2,24,"law",1,NA,NA,NA,2,2,5,"alabama","35223",65929,1,5,1,"law",NA,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,0,"European/Caucasian-American","European/Caucasian-American"
2,2,0,3,1,1,10,3,NA,6,3,13,0,0.1,0,22,4,19,18,19,18,14,12,1,10,10,10,10,10,10,10,10,2,24,"law",1,NA,NA,NA,2,2,5,"alabama","35223",65929,1,5,1,"law",NA,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,0,"European/Caucasian-American","Asian/Pacific Islander/Asian-American"
2,2,0,3,1,1,10,3,NA,1,4,14,1,-0.21,1,23,2,30,5,15,40,5,5,1,9,9,9,9,9,9,9,7,2,24,"law",1,NA,NA,NA,2,2,5,"alabama","35223",65929,1,5,1,"law",NA,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,1,"European/Caucasian-American","European/Caucasian-American"
2,2,0,3,1,1,10,3,NA,3,5,15,0,0.32,0,24,3,30,10,20,10,10,20,1,10,10,10,10,7,8,10,1,1,24,"law",1,NA,NA,NA,2,2,5,"alabama","35223",65929,1,5,1,"law",NA,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,0,"European/Caucasian-American","Latino/Hispanic American"
2,2,0,3,1,1,10,3,NA,2,6,16,0,0.73,1,25,2,50,0,30,10,0,10,1,7,8,7,5,7,7,7,5,2,24,"law",1,NA,NA,NA,2,2,5,"alabama","35223",65929,1,5,1,"law",NA,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,0,"European/Caucasian-American","European/Caucasian-American"
2,2,0,3,1,1,10,3,NA,7,7,17,0,0.6,1,30,2,35,15,25,10,5,10,0,5,3,4,3,5,3,4,3,2,24,"law",1,NA,NA,NA,2,2,5,"alabama","35223",65929,1,5,1,"law",NA,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,1,"European/Caucasian-American","European/Caucasian-American"
2,2,0,3,1,1,10,3,NA,8,8,18,0,0.07,1,27,2,33.33,11.11,11.11,11.11,11.11,22.22,1,7,7,7,7,7,5,7,6,2,24,"law",1,NA,NA,NA,2,2,5,"alabama","35223",65929,1,5,1,"law",NA,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,0,"European/Caucasian-American","European/Caucasian-American"
2,2,0,3,1,1,10,3,NA,4,9,19,1,0.11,1,28,2,50,0,25,10,0,15,1,8,6,9,9,8,7,8,8,2,24,"law",1,NA,NA,NA,2,2,5,"alabama","35223",65929,1,5,1,"law",NA,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,1,"European/Caucasian-American","European/Caucasian-American"
2,2,0,3,1,1,10,3,NA,5,10,20,0,0.39,1,24,2,100,0,0,0,0,0,0,6,5,7,7,9,7,6,9,2,24,"law",1,NA,NA,NA,2,2,5,"alabama","35223",65929,1,5,1,"law",NA,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,1,"European/Caucasian-American","European/Caucasian-American"
3,3,0,5,1,1,10,9,NA,6,1,11,0,-0.24,1,27,2,35,20,20,20,0,5,0,7,8,6,5,8,4,5,2,1,25,"economics",2,NA,NA,NA,2,8,4,"connecticut","6268",NA,6,3,1,"economist",NA,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,0,"European/Caucasian-American","European/Caucasian-American"
3,3,0,5,1,1,10,9,NA,5,2,12,0,-0.14,1,22,2,60,0,0,40,0,0,0,6,7,10,6,6,5,7,3,2,25,"economics",2,NA,NA,NA,2,8,4,"connecticut","6268",NA,6,3,1,"economist",NA,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,0,"European/Caucasian-American","European/Caucasian-American"
3,3,0,5,1,1,10,9,NA,2,3,13,0,0.09,0,22,4,19,18,19,18,14,12,1,10,10,10,10,10,10,10,10,2,25,"economics",2,NA,NA,NA,2,8,4,"connecticut","6268",NA,6,3,1,"economist",NA,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,0,"European/Caucasian-American","Asian/Pacific Islander/Asian-American"
3,3,0,5,1,1,10,9,NA,7,4,14,0,-0.04,1,23,2,30,5,15,40,5,5,1,7,9,8,8,8,8,7,7,2,25,"economics",2,NA,NA,NA,2,8,4,"connecticut","6268",NA,6,3,1,"economist",NA,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,0,"European/Caucasian-American","European/Caucasian-American"
