"person_id","gender","wave","race","race_label","age","n_dates","n_matches","match_rate","yes_rate_in","yes_rate_out","received_attr","received_sinc","received_intel","received_fun","received_amb","received_shar","received_like","received_prob_yes","received_met_before","pct_partner_black","pct_partner_white","pct_partner_latino","pct_partner_asian","pct_partner_native","pct_partner_other","pct_partner_race_missing","pct_samerace_partners","field_code","field","hometown","zipcode","income","career_code","career","id_in_wave","id_in_gender","condition","n_met_in_wave","undergrad_school","median_sat","tuition","imp_samerace","imp_samerelig","event_goal","date_freq","goout_freq","sports","tvsports","exercise","dining","museums","art","hiking","gaming","clubbing","reading","tv","theater","movies","concerts","music","shopping","yoga","avg_int_corr","avg_partner_pref_attr","avg_partner_pref_sinc","avg_partner_pref_intel","avg_partner_pref_fun","avg_partner_pref_amb","avg_partner_pref_shar"
1,0,1,4,"Asian/Pacific Islander/Asian-American",21,10,4,0.4,0.5,0.8,6.7,7.4,8,7.2,8,7.1,6.85,5.7,1.9,0,0.8,0.1,0.1,0,0,0,0.1,1,"law","chicago","60521",69487,NA,"lawyer",1,1,1,10,NA,NA,NA,2,4,2,7,1,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,0.267,44.233,7.911,16.511,16.911,4.511,9.922
2,0,1,2,"European/Caucasian-American",24,10,2,0.2,0.6,0.4,7.7,7.1,7.9,7.5,7.5,6.5,7.6,5.5,1.9,0,0.8,0.1,0.1,0,0,0,0.8,1,"law","alabama","35223",65929,NA,"law",2,3,1,10,NA,NA,NA,2,5,1,5,1,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,0.258,44.233,7.911,16.511,16.911,4.511,9.922
3,0,1,2,"European/Caucasian-American",25,10,0,0,0.5,0,6.5,7.1,7.3,6.2,7.11111111111111,6,6,4.5,1.9,0,0.8,0.1,0.1,0,0,0,0.8,2,"economics","connecticut","6268",NA,NA,"economist",3,5,1,10,NA,NA,NA,8,4,6,3,1,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,-0.136,44.233,7.911,16.511,16.911,4.511,9.922
4,0,1,2,"European/Caucasian-American",23,10,2,0.2,0.6,0.3,7,7.1,7.7,7.5,7.7,7.2,7.3,6.5,1.77777777777778,0,0.8,0.1,0.1,0,0,0,0.8,1,"law","texas","77096",37754,1,"lawyer/policy work",4,7,1,10,NA,NA,NA,1,1,1,5,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,-0.007,44.233,7.911,16.511,16.911,4.511,9.922
5,0,1,2,"European/Caucasian-American",21,10,2,0.2,0.3,0.6,5.3,7.7,7.6,7.2,7.8,6.2,6.1,6.5,1.7,0,0.8,0.1,0.1,0,0,0,0.8,1,"law","bowdoin college","94022",86340,1,"lawyer",5,9,1,10,NA,NA,NA,8,1,2,4,1,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,-0.079,44.233,7.911,16.511,16.911,4.511,9.922
6,0,1,4,"Asian/Pacific Islander/Asian-American",23,10,2,0.2,0.5,0.6,6.8,7.8,8.6,7,8,6.3,6.8,5.5,1.8,0,0.8,0.1,0.1,0,0,0,0.1,1,"law","md","20878",60304,1,"lawyer",6,11,1,10,NA,NA,NA,1,1,1,3,1,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,0.224,44.233,7.911,16.511,16.911,4.511,9.922
7,0,1,4,"Asian/Pacific Islander/Asian-American",22,10,2,0.2,0.7,0.4,7.9,7.6,8.2,7,7.5,6.7,7.6,6.1,1.77777777777778,0,0.8,0.1,0.1,0,0,0,0.1,1,"law","southern california","91360",54620,1,"law",7,13,1,10,NA,NA,NA,2,4,1,5,1,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,0.067,44.233,7.911,16.511,16.911,4.511,9.922
8,0,1,2,"European/Caucasian-American",25,10,8,0.8,0.8,1,8.2,7.8,8.1,7.9,7.44444444444444,6.8,7.7,6.3,2,0,0.8,0.1,0.1,0,0,0,0.8,13,"masters in public administration","london, england","0",NA,6,"journalist",8,15,1,10,NA,NA,NA,1,1,1,5,1,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,-0.053,44.233,7.911,16.511,16.911,4.511,9.922
9,0,1,6,"Other",26,10,7,0.7,0.7,1,7,7.4,7.5,7.8,6.9,6.3,7.1,5.9,2,0,0.8,0.1,0.1,0,0,0,0,13,"masters in public administration","palm springs, california","0",NA,9,"congresswoman, and comedian",9,17,1,10,NA,NA,NA,1,1,1,4,1,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,0.078,44.233,7.911,16.511,16.911,4.511,9.922
10,0,1,2,"European/Caucasian-American",26,10,2,0.2,0.4,0.4,6.33333333333333,7,6.4,6.4,6.2,5.77777777777778,6,6,1.9,0,0.8,0.1,0.1,0,0,0,0.8,13,"masters of social work&education","94115","19335",48652,9,"to create early childhood intervention programs",10,19,1,10,NA,NA,NA,4,4,2,6,1,9,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7,0.241,44.233,7.911,16.511,16.911,4.511,9.922
