"Variable","Coefficient","Odds_Ratio"
"race2",-0.540696767560851,0.582342353720522
"race3",-0.309165968620419,0.734058929167883
"race_o3",-0.198696310660561,0.819798819694897
"amb",-0.157640015266859,0.854157210185798
"sinc",-0.129395655797122,0.878626263190358
"race_o6",-0.122438961097541,0.884759908069049
"race6",-0.0636387387332496,0.938343925621827
"race_o4",-0.0325413065227474,0.967982465015785
"age_o",-0.0224536492045117,0.977796557791285
"age",-0.00048773493091605,0.99951238399243
"race_o2",0.0104579537939476,1.01051282932114
"race4",0.0608577088200267,1.06274768380613
"intel",0.0641207515797325,1.06622113887543
"samerace",0.158881215807439,1.17219869973464
"fun",0.273248972712984,1.3142274108593
"shar",0.288425535832847,1.33432498642462
"gender1",0.428372447338317,1.53475759091199
"attr",0.548775726915849,1.73113234125812
