"Variable","Coefficient","Odds_Ratio"
"career_c17",-0.42402290224119,0.6544088943069
"race_o4",-0.369435411245124,0.691124421583158
"go_out5",-0.334172321832409,0.715930401158283
"career_c13",-0.3328522433194,0.716876109565002
"race2",-0.231574331929684,0.793283727001315
"career_c12",-0.158444884544774,0.853470001882334
"date5",-0.138873194095762,0.870338385507108
"career_c9",-0.0985311251607101,0.906167487566649
"race_o6",-0.0787311591557928,0.924288377514126
"career_c4",-0.0787064829106993,0.924311185762076
"race3",-0.0660242150272335,0.936108196131702
"movies",-0.055451466348083,0.946057938202892
"date7",-0.0503694297666696,0.950878076939491
"go_out2",-0.0418884993122421,0.958976701173238
"imprace",-0.0386683833230165,0.962069694608147
"sports",-0.038029918435587,0.962684138456953
"exercise",-0.0281297288232448,0.972262228184769
"career_c15",-0.022473419470125,0.977777226684713
"age_o",-0.0206605966311619,0.979551371191637
"music",-0.0184810334981581,0.981688693615638
"shopping",-0.010543342479701,0.989512043732782
"imprelig",-0.00982077033022174,0.990227295956706
"dining",-0.000710324268067197,0.999289927952493
"tvsports",0.0138812995879796,1.01397809217752
"theater",0.0148983034741534,1.01500983639277
"tv",0.0183210626700842,1.01848992299594
"gaming",0.0237700077743599,1.02405476616928
"reading",0.0248475071017368,1.02515877917084
"clubbing",0.0284183495712209,1.02882600332064
"yoga",0.0375715098871322,1.03828624215915
"race_o3",0.0383767240904856,1.03912262167563
"career_c2",0.0546840564553096,1.05620686021514
"goal2",0.0560249843523704,1.0576241074599
"go_out3",0.0643312726847507,1.06644562455643
"date3",0.0678175454015751,1.07017003322122
"exphappy",0.0721473040730589,1.0748136568329
"date4",0.0790405046548517,1.08224815727062
"race_o2",0.0839818472008067,1.08760915047912
"date2",0.0973972401842461,1.10229816378701
"go_out7",0.109337482978004,1.11553876216512
"samerace",0.143983576149782,1.15486514103706
"career_c3",0.215936614710888,1.24102371386069
"goal4",0.220548971667778,1.24676097920772
"go_out4",0.232010118653297,1.26113248972619
"career_c14",0.2446149529151,1.27712946354135
"career_c8",0.38993286555261,1.47688164092157
"go_out6",0.417387804992266,1.51799108332277
"gender1",0.449900743705678,1.5681565283594
